"kode","diagnose","neg","det","ant","dis","psy"
"F21","Schizotyp lidelse",0.33756458030435,0.305331574919577,0.205727455055488,0.149672415188477,0.370331701231765
"F60.0","Paranoid personlighetsforstyrrelse",0.301226114607607,0.215798938422199,0.280217024816486,0.179379267403368,0.145499980097042
"F60.1","Schizoid personlighetsforstyrrelse",0.227293999359975,0.326513308867265,0.202131535591645,0.164677167090611,0.135944592168215
"F60.2","Dyssosial personlighetsforstyrrelse",0.299980113001418,0.201595772120685,0.308044337353533,0.285614036421151,0.121329350777579
"F60.3","Emosjonelt ustabil personlighetsforstyrrelse (borderline-type)",0.297166926198911,0.205153858008549,0.247295694826269,0.298875992253385,0.152297307139472
"F60.4","Histrionisk personlighetsforstyrrelse",0.308175482111324,0.189945761498501,0.24105321526619,0.194048449447,0.109728356241362
"F60.5","Tvangspreget personlighetsforstyrrelse",0.204895972378986,0.35275672593622,0.189569939738399,0.173655655384998,0.115368494047119
"F60.6","Engstelig (unnvikende) personlighetsforstyrrelse",0.305384209490698,0.299676657860362,0.149088256664318,0.131602830275622,0.12099825611652
"F60.7","Avhengig personlighetsforstyrrelse",0.332676746193329,0.236645173982101,0.171337233992165,0.145580706886051,0.0779256615920883
